nomeprocedimento,codigo
TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO                                                                                                 ,303140135
TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES                                                                                      ,303140143
TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)                                                                                                         ,303140151
TRATAMENTO DE DOENCAS DOS ORGAOS GENITAIS MASCULINOS                                                                                                  ,303150017
TRATAMENTO DE DOENCAS GLOMERULARES                                                                                                                    ,303150025
TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS                                                                                     ,303150033
TRATAMENTO DE DOENCAS RENAIS TUBULO-INTERSTICIAIS                                                                                                     ,303150041
TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO                                                                                                     ,303150050
TRATAMENTO DE OUTROS TRANSTORNOS DO RIM E DO URETER                                                                                                   ,303150068
TRATAMENTO DE ENTERITE NECROSANTE DO FETO E DO RECEM-NASCIDO                                                                                          ,303160012
TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL                                                                                              ,303160020
TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL                                                                                      ,303160039
TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO                                                                     ,303160047
TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL                                                              ,303160055
TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL                                                            ,303160063
TRATAMENTO DE TRAUMATISMO DE PARTO NO NEONATO                                                                                                         ,303160071
TRATAMENTO EM PSIQUIATRIA (POR DIA)                                                                                                                   ,303170093
TRATAMENTO EM PSIQUIATRIA EM HOSPITAL DIA                                                                                                             ,303170107
TRATAMENTO CLÍNICO EM SAÚDE MENTAL EM SITUAÇÃO DE RISCO ELEVADO DE SUICÍDIO.                                                                          ,303170131
TRATAMENTO CLÍNICO PARA CONTENÇÃO DE COMPORTAMENTO DESORGANIZADO E/OU DISRUPTIVO                                                                      ,303170140
"TRATAMENTO CLÍNICO PARA AVALIAÇÃO DIAGNÓSTICA E ADEQUAÇÃO TERAPÊUTICA, INCLUINDO NECESSIDADES DE SAÚDE DECORRENTES DO USO DE ÁLCOOL E OUTRAS DROGAS   ",303170158
TRATAMENTO CLÍNICO DE TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDO AO USO DE ÁLCOOL                                                                   ,303170166
TRATAMENTO CLÍNICO DE TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDO AO USO DE “CRACK”.                                                                 ,303170174
TRATAMENTO CLÍNICO DOS TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDO AO USO DAS DEMAIS DROGAS E/OU OUTRAS SUBSTÂNCIAS PSICOATIVAS                      ,303170182
TRATAMENTO EM PSIQUIATRIA DE CURTA PERMANENCIA POR DIA (PERMANENCIA ATÉ 90 DIAS)                                                                      ,303170190
TRATAMENTO EM PSIQUIATRIA POR DIA (COM DURAÇÃO SUPERIOR A 90 DIAS DE INTERNAÇÃO OU REINTERNAÇÃO ANTES DE 30 DIAS)                                     ,303170204
TRATAMENTO DE AFECÇÕES ASSOCIADAS AO HIV/AIDS                                                                                                         ,303180013
TRATAMENTO DE AFECÇÕES DO APARELHO DIGESTIVO EM HIV/AIDS                                                                                              ,303180030
TRATAMENTO DE AFECÇÕES DO SISTEMA NERVOSO EM HIV/AIDS                                                                                                 ,303180048
TRATAMENTO DE AFECÇÕES DO SISTEMA RESPIRATÓRIO EM HIV/AIDS                                                                                            ,303180056
TRATAMENTO DE DOENÇAS DISSEMINADAS EM AIDS                                                                                                            ,303180064
TRATAMENTO DE HIV / AIDS                                                                                                                              ,303180072
TRATAMENTO EM REABILITACAO                                                                                                                            ,303190019
BETATERAPIA DÉRMICA (POR CAMPO)                                                                                                                       ,304010014
BETATERAPIA OFTÁLMICA (POR CAMPO)                                                                                                                     ,304010022
BETATERAPIA PARA PROFILAXIA DE PTERÍGIO (POR CAMPO)                                                                                                   ,304010030
BRAQUITERAPIA                                                                                                                                         ,304010049
BRAQUITERAPIA COM FIOS DE IRIDIUM                                                                                                                     ,304010057
BRAQUITERAPIA COM IODO 125 / OURO 198                                                                                                                 ,304010065
BRAQUITERAPIA DE ALTA TAXA DE DOSE (POR INSERÇÃO)                                                                                                     ,304010073
VERIFICAÇÂO POR IMAGEM EM RADIOTERAPIA                                                                                                                ,304010081
COBALTOTERAPIA (POR CAMPO)                                                                                                                            ,304010090
IMPLANTAÇÃO DE HALO PARA RADIOCIRURGIA                                                                                                                ,304010103
INTERNACAO P/ RADIOTERAPIA EXTERNA (COBALTOTERAPIA / ACELERADOR LINEAR)                                                                               ,304010111
IRRADIACAO DE CORPO INTEIRO PRÉ-TRANSPLANTE DE MEDULA ÓSSEA                                                                                           ,304010120
IRRADIAÇÃO DE MEIO CORPO                                                                                                                              ,304010138
IRRADIAÇÃO DE PELE TOTAL                                                                                                                              ,304010146
MÁSCARA / IMOBILIZAÇÃO PERSONALIZADA (POR TRATAMENTO)                                                                                                 ,304010154
MOLDAGEM EM COLO E/OU CORPO DO UTERO                                                                                                                  ,304010162
NARCOSE DE CRIANÇA (POR PROCEDIMENTO)                                                                                                                 ,304010170
PLANEJAMENTO COMPLEXO (POR TRATAMENTO)                                                                                                                ,304010189
PLANEJAMENTO DE BRAQUITERAPIA DE ALTA TAXA DE DOSE (POR TRATAMENTO)                                                                                   ,304010197
PLANEJAMENTO SIMPLES (POR TRATAMENTO)                                                                                                                 ,304010200
RADIOCIRURGIA - UM ISOCENTRO                                                                                                                          ,304010219
RADIOTERAPIA DE DOENÇA OU CONDIÇÃO BENIGNA (POR CAMPO)                                                                                                ,304010235
RADIOTERAPIA ESTEREOTÁXICA FRACIONADA                                                                                                                 ,304010243
ROENTGENTERAPIA (POR CAMPO)                                                                                                                           ,304010260
RADIOTERAPIA COM ACELERADOR LINEAR SÓ DE FÓTONS (POR CAMPO)                                                                                           ,304010286
RADIOTERAPIA COM ACELERADOR LINEAR DE FÓTONS E ELÉTRONS (POR CAMPO)                                                                                   ,304010294
COLIMAÇÃO PERSONALIZADA                                                                                                                               ,304010308
PLANEJAMENTO TRIDIMENSIONAL (POR TRATAMENTO).                                                                                                         ,304010316
MOLDAGEM/IMPLANTE EM MUCOSA (POR TRATAMENTO COMPLETO)                                                                                                 ,304010324
MOLDAGEM/IMPLANTE EM PELE/MUCOSA (POR TRATAMENTO COMPLETO)                                                                                            ,304010332
NARCOSE PARA BRAQUITERAPIA DE ALTA DOSE (POR PROCEDIMENTO)                                                                                            ,304010340
INTERNAÇÃO VIA CNRAC PARA RADIOCIRURGIA OU RADIOTERAPIA ESTEREOTÁXICA FRACIONADA                                                                      ,304010359
QUIMIOTERAPIA DO ADENOCARCINOMA DE COLON AVANÇADO -1ª LINHA                                                                                           ,304020010
QUIMIOTERAPIA DO ADENOCARCINOMA DE COLON AVANÇADO - 2ª LINHA                                                                                          ,304020028
HORMONIOTERAPIA DO ADENOCARCINOMA DE ENDOMÉTRIO AVANÇADO                                                                                              ,304020036
QUIMIOTERAPIA DO ADENOCARCINOMA DE ESTÔMAGO AVANÇADO                                                                                                  ,304020044
QUIMIOTERAPIA DO ADENOCARCINOMA DE PÂNCREAS AVANÇADO                                                                                                  ,304020052
HORMONIOTERAPIA DO ADENOCARCINOMA DE PRÓSTATA AVANÇADO - 2ª LINHA                                                                                     ,304020060
HORMONIOTERAPIA DO ADENOCARCINOMA DE PRÓSTATA AVANÇADO - 1ª LINHA                                                                                     ,304020079
QUIMIOTERAPIA DO ADENOCARCINOMA DE PRÓSTATA RESISTENTE A HORMONIOTERAPIA                                                                              ,304020087
QUIMIOTERAPIA DO CARCINOMA DE RETO AVANÇADO -1ª LINHA                                                                                                 ,304020095
QUIMIOTERAPIA DO CARCINOMA DE RETO AVANÇADO - 2ª LINHA                                                                                                ,304020109
QUIMIOTERAPIA DO APUDOMA/TUMOR NEUROENDÓCRINO AVANÇADO                                                                                                ,304020117
QUIMIOTERAPIA DO CARCINOMA DE ADRENAL AVANÇADO                                                                                                        ,304020125
QUIMIOTERAPIA DO CARCINOMA DE MAMA AVANÇADO -1ª LINHA                                                                                                 ,304020133
QUIMIOTERAPIA DO CARCINOMA DE MAMA AVANÇADO - 2ª LINHA                                                                                                ,304020141
QUIMIOTERAPIA DO CARCINOMA DE NASOFARINGE AVANÇADO                                                                                                    ,304020150
QUIMIOTERAPIA DO CARCINOMA DE RIM AVANÇADO                                                                                                            ,304020168
QUIMIOTERAPIA DO CARCINOMA EPIDERMÓIDE / ADENOCARCINOMA DE ESÔFAGO AVANÇADO                                                                           ,304020176
QUIMIOTERAPIA DO CARCINOMA EPIDERMÓIDE / ADENOCARCINOMA DO COLO OU DO CORPO UTERINO AVANÇADO                                                          ,304020184
QUIMIOTERAPIA DO CARCINOMA EPIDERMÓIDE DE RETO/ CANAL ANAL/ MARGEM ANAL AVANÇADO                                                                      ,304020192
QUIMIOTERAPIA DO CARCINOMA EPIDERMÓIDE DE CABEÇA E PESCOÇO AVANÇADO                                                                                   ,304020206
QUIMIOTERAPIA DO CARCINOMA PULMONAR DE CÉLULAS NÃO PEQUENAS AVANÇADO                                                                                  ,304020214
QUIMIOTERAPIA DO CARCINOMA PULMONAR INDIFERENCIADO DE CÉLULAS PEQUENAS AVANÇADO                                                                       ,304020222
QUIMIOTERAPIA DO MELANOMA MALIGNO AVANÇADO                                                                                                            ,304020230
QUIMIOTERAPIA DE METÁSTASE DE ADENOCARCINOMA DE ORIGEM DESCONHECIDA                                                                                   ,304020249
QUIMIOTERAPIA DE METÁSTASE DE CARCINOMA EPIDERMÓIDE/CARCINOMA NEUROENDOCRINO DE ORIGEM DESCONHECIDA                                                   ,304020257
QUIMIOTERAPIA DE METÁSTASE DE NEOPLASIA MALIGNA INDIFERENCIADA DE ORIGEM DESCONHECIDA                                                                 ,304020265
QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVÁRIO OU DE TUBA UTERINA AVANÇADA -1ª LINHA.                                                         ,304020273
QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVÁRIO OU DE TUBA UTERINA AVANÇADA - 2ª LINHA)                                                        ,304020281
QUIMIOTERAPIA DE SARCOMA DE PARTES MOLES AVANÇADO                                                                                                     ,304020290
QUIMIOTERAPIA DE SARCOMA ÓSSEO AVANÇADO                                                                                                               ,304020303
QUIMIOTERAPIA DO TUMOR DO ESTROMA GASTROINTESTINAL AVANÇADO                                                                                           ,304020311
QUIMIOTERAPIA DE TUMOR DO SISTEMA NERVOSO CENTRAL AVANÇADO                                                                                            ,304020320
HORMONIOTERAPIA DO CARCINOMA DE MAMA AVANÇADO - 2ª LINHA                                                                                              ,304020338
HORMONIOTERAPIA DO CARCINOMA DE MAMA AVANÇADO- 1ª LINHA                                                                                               ,304020346
QUIMIOTERAPIA DO CARCINOMA DE TIREOIDE AVANÇADO                                                                                                       ,304020362
QUIMIOTERAPIA DO CARCINOMA DE PÊNIS AVANÇADO                                                                                                          ,304020370
QUIMIOTERAPIA DE CARCINOMA DO FÍGADO OU DO TRATO BILIAR AVANÇADO                                                                                      ,304020389
QUIMIOTERAPIA DE NEOPLASIA MALIGNA DO TIMO AVANÇADA                                                                                                   ,304020397
QUIMIOTERAPIA DE CARCINOMA UROTELIAL AVANÇADO                                                                                                         ,304020400
POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO – 1ª LINHA                                                                                      ,304020419
MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO – 1ª LINHA                                                                                      ,304020427
POLIQUIMIOTERAPIA COM DUPLO ANTI HER-2 DO CARCINOMA DE MAMA HER-2 POSITIVO 1ª LINHA                                                                   ,304020435
QUIMIOTERAPIA COM DUPLO ANTI-HER-2 DO CARCINOMA DE MAMA HER-2 POSITIVO – 1ª LINHA                                                                     ,304020443
QUIMIOTERAPIA DE DOENÇA LINFOPROLIFERATIVA RARA -1ª LINHA.                                                                                            ,304030015
QUIMIOTERAPIA DE DOENÇA LINFOPROLIFERATIVA RARA - 2ª LINHA                                                                                            ,304030023
QUIMIOTERAPIA DE DOENÇA MIELOPROLIFERATIVA RARA - 1ª LINHA                                                                                            ,304030031
QUIMIOTERAPIA DE DOENÇA MIELOPROLIFERATIVA RARA - 2ª LINHA.                                                                                           ,304030040
QUIMIOTERAPIA DE LEUCEMIA LINFOCITICA CRONICA - 1ª LINHA.                                                                                             ,304030058
QUIMIOTERAPIA DE LEUCEMIA LINFOCITICA CRONICA - 2ª LINHA.                                                                                             ,304030066
QUIMIOTERAPIA DE LEUCEMIA MIELOIDE CRONICA QUALQUER FASE - CONTROLE SANGÜINEO                                                                         ,304030074
QUIMIOTERAPIA DA LEUCEMIA MIELÓIDE CRÔNICA EM FASE BLÁSTICA - MARCADOR POSITIVO - 2ª LINHA.                                                           ,304030082
QUIMIOTERAPIA DA LEUCEMIA MIELÓIDE CRÔNICA EM FASE BLASTICA - MARCADOR POSITIVO - SEM FASE CRÔNICA OU DE TRANSFORMAÇÃO ANTERIOR (1ª LINHA).           ,304030090
QUIMIOTERAPIA DE LEUCEMIA MIELÓIDE CRÔNICA EM FASE BLÁSTICA - MARCADOR POSITIVO-3ª LINHA                                                              ,304030104
QUIMIOTERAPIA DA LEUCEMIA MIELÓIDE CRÔNICA EM FASE CRÔNICA - MARCADOR POSITIVO - 1ª LINHA.                                                            ,304030112
QUIMIOTERAPIA DE LEUCEMIA MIELÓIDE CRÔNICA EM FASE CRÔNICA - MARCADOR POSITIVO - 3ª LINHA                                                             ,304030120
QUMIOTERAPIA DE LEUCEMIA MIELÓIDE CRÔNICA EM FASE DE TRANSFORMAÇÃO - MARCADOR POSITIVO - 3ª LINHA                                                     ,304030139
QUIMIOTERAPIA DA LEUCEMIA MIELÓIDE CRÔNICA EM FASE DE TRANSFORMAÇÃO - MARCADOR POSITIVO - 2ªLINHA                                                     ,304030147
QUIMIOTERAPIA DE LEUCEMIA MIELÓIDE CRÔNICA EM FASE DE TRANSFORMAÇÃO - MARCADOR POSITIVO - SEM FASE CRONICA ANTERIOR (1ª LINHA)                        ,304030155
QUIMIOTERAPIA DE LINFOMA NÃO HODGKIN DE BAIXO GRAU DE MALIGNIDADE (1ª LINHA)                                                                          ,304030163
QUIMIOTERAPIA DE LINFOMA NÃO HODGKIN DE BAIXO GRAU DE MALIGNIDADE - 2ªLINHA                                                                           ,304030171
QUIMIOTERAPIA DE NEOPLASIA DE CÉLULAS PLASMÁTICAS - 1ª LINHA.                                                                                         ,304030180
QUIMIOTERAPIA DE NEOPLASIA DE CÉLULAS PLASMÁTICAS - 2ª LINHA.                                                                                         ,304030198
QUIMIOTERAPIA DA TRICOLEUCEMIA - 2ª LINHA                                                                                                             ,304030201
QUIMIOTERAPIA DE TRICOLEUCEMIA - 1ªLINHA.                                                                                                             ,304030210
QUIMIOTERAPIA DE LEUCEMIA MIELÓIDE CRÔNICA EM FASE CRÔNICA - MARCADOR POSITIVO - 2ª LINHA                                                             ,304030228
QUIMIOTERAPIA DE LINFOMA FOLICULAR- 1ª LINHA                                                                                                          ,304030236
QUIMIOTERAPIA DE LINFOMA FOLICULAR - 2ª LINHA                                                                                                         ,304030244
QUIMIOTERAPIA DO ADENOCARCINOMA DE RETO (PRÉVIA)                                                                                                      ,304040010
QUIMIOTERAPIA DO CARCINOMA DE MAMA (PRÉVIA)                                                                                                           ,304040029
QUIMIOTERAPIA DO CARCINOMA EPIDERMÓIDE / ADENOCARCINOMA DO COLO UTERINO                                                                               ,304040045
QUIMIOTERAPIA DO CARCINOMA EPIDERMÓIDE DE RETO/ CANAL ANAL/ MARGEM ANAL                                                                               ,304040053
QUIMIOTERAPIA DO CARCINOMA EPIDERMÓIDE DE SEIO PARA-NASAL/ LARINGE / HIPOFARINGE/ OROFARINGE /CAVIDADE ORAL                                           ,304040061
QUIMIOTERAPIA DO CARCINOMA DE BEXIGA                                                                                                                  ,304040070
QUIMIOTERAPIA DO CARCINOMA DE NASOFARINGE                                                                                                             ,304040088
QUIMIOTERAPIA DO CARCINOMA PULMONAR DE CÉLULAS NÃO PEQUENAS (PRÉVIA)                                                                                  ,304040096
QUIMIOTERAPIA DO CARCINOMA PULMONAR INDIFERENCIADO DE CÉLULAS PEQUENAS (PRÉVIA)                                                                       ,304040100
QUIMIOTERAPIA DE CARCINOMA EPIDERMÓIDE / ADENOCARCINOMA DE ESÔFAGO                                                                                    ,304040118
QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE DE VULVA                                                                                                       ,304040126
QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVÁRIO OU DA TUBA UTERINA - 2ª LINHA                                                                  ,304040134
QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVÁRIO OU DA TUBA UTERINA - 1ª LINHA                                                                  ,304040142
QUIMIOTERAPIA DE OSTEOSSARCOMA - 2ª LINHA.                                                                                                            ,304040150
QUIMIOTERAPIA DE SARCOMA ÓSSEO / OSTEOSSARCOMA - 1ª LINHA                                                                                             ,304040169
QUIMIOTERAPIA DO ADENOCARCINOMA DE ESTÔMAGO (PRÉ-OPERATÓRIA)                                                                                          ,304040177
POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTÁDIO III (PRÉVIA)                                                                         ,304040185
HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTÁDIO III (PRÉVIA)                                                                                          ,304040193
HORMONIOTERAPIA PRÉVIA À RADIOTERAPIA EXTERNA DO ADENOCARCINOMA DE PRÓSTATA                                                                           ,304040207
QUIMIOTERAPIA INTRA-VESICAL                                                                                                                           ,304050016
QUIMIOTERAPIA DE ADENOCARCINOMA DE CÓLON                                                                                                              ,304050024
QUIMIOTERAPIA DO ADENOCARCINOMA DE RETO (ADJUVANTE)                                                                                                   ,304050032
HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTÁDIO I                                                                                                     ,304050040
QUIMIOTERAPIA DO CARCINOMA DE MAMA EM ESTÁDIO III                                                                                                     ,304050067
QUIMIOTERAPIA DO CARCINOMA DE MAMA EM ESTÁDIO II                                                                                                      ,304050075
HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTÁDIO III                                                                                                   ,304050113
HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTÁDIO II                                                                                                    ,304050121
QUIMIOTERAPIA DO CARCINOMA DE MAMA EM ESTÁDIO I                                                                                                       ,304050130
QUIMIOTERAPIA DO CARCINOMA PULMONAR DE CÉLULAS NÃO PEQUENAS (ADJUVANTE)                                                                               ,304050172
QUIMIOTERAPIA DE CARCINOMA PULMONAR INDIFERENCIADO DE CÉLULAS PEQUENAS (ADJUVANTE)                                                                    ,304050180
QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVÁRIO OU DA TUBA UTERINA                                                                             ,304050202
QUIMIOTERAPIA DO OSTEOSSARCOMA                                                                                                                        ,304050210
QUIMIOTERAPIA DE SARCOMA DE PARTES MOLES DE EXTREMIDADE                                                                                               ,304050229
QUIMIOTERAPIA DO ADENOCARCINOMA DE ESTÔMAGO (PÓS OPERATÓRIA)                                                                                          ,304050253
POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTÁDIO I (ADJUVANTE)                                                                        ,304050261
POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTÁDIO II (ADJUVANTE)                                                                       ,304050270
POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTÁDIO III (ADJUVANTE)                                                                      ,304050288
MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTÁDIO I (ADJUVANTE)                                                                        ,304050296
MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTÁDIO II (ADJUVANTE)                                                                       ,304050300
MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTÁDIO III (ADJUVANTE)                                                                      ,304050318
QUIMIOTERAPIA DE MELANOMA MALÍGNO                                                                                                                     ,304050326
QUIMIOTERAPIA DE TUMOR DO ESTROMA GASTRO INTESTINAL                                                                                                   ,304050334
HORMONIOTERAPIA ADJUVANTE À RADIOTERAPIA EXTERNA DO ADENOCARCINOMA DE PRÓSTATA                                                                        ,304050342
QUIMIOTERAPIA DA DOENÇA DE HODGKIN - 1ª LINHA                                                                                                         ,304060011
QUIMIOTERAPIA DA DOENÇA DE HODGKIN - 2ª LINHA                                                                                                         ,304060038
QUIMIOTERAPIA DA DOENÇA DE HODGKIN - 3ª LINHA                                                                                                         ,304060046
QUIMIOTERAPIA DE LEUCEMIA AGUDA/ MIELODISPLASIA / LINFOMA DE BURKITT - 1ª LINHA                                                                       ,304060070
QUIMIOTERAPIA DE LEUCEMIA AGUDA/ MIELODISPLASIA/LINFOMA LINFOBLÁSTICO/ LINFOMA DE BURKITT - 2ª LINHA                                                  ,304060089
QUIMIOTERAPIA DE LEUCEMIA AGUDA/ MIELODISPLASIA/ LINFOMA LINFOBLÁSTICO/ LINFOMA DE BURKITT 3ª LINHA                                                   ,304060097
QUIMIOTERAPIA DE LEUCEMIA AGUDA/MIELODISPLASIA/ LINFOMA LINFOBLÁSTICO/ LINFOMA DE BURKITT - 4ª LINHA                                                  ,304060100
QUIMIOTERAPIA DE LINFOMA NÃO HODGKIN GRAU INTERMEDIÁRIO OU ALTO - 2ª LINHA                                                                            ,304060119
QUIMIOTERAPIA DE LINFOMA NÃO HODGKIN GRAU INTERMEDIÁRIO OU ALTO - 3ª LINHA                                                                            ,304060127
QUIMIOTERAPIA DE LINFOMA NÃO HODGKIN DE GRAU DE MALIGNIDADE INTERMEDIÁRIO OU ALTO - 1ª LINHA                                                          ,304060135
QUIMIOTERAPIA DE TUMOR GERMINATIVO EXTRA-GONADAL                                                                                                      ,304060151
QUIMIOTERAPIA DE TUMOR GERMINATIVO DE OVÁRIO                                                                                                          ,304060160
QUIMIOTERAPIA DE NEOPLASIA TROFOBLÁSTICA GESTACIONAL - BAIXO RISCO                                                                                    ,304060178
QUIMIOTERAPIA DE NEOPLASIA TROFOBLÁSTICA GESTACIONAL - CORIOCARCINOMA DE BAIXO RISCO PERSISTENTE / ALTO RISCO / RECIDIVA                              ,304060186
QUIMIOTERAPIA DE TUMOR GERMINATIVO DE TESTÍCULO - 1ª LINHA                                                                                            ,304060208
QUIMIOTERAPIA DE TUMOR GERMINATIVO DE TESTÍCULO - 2ª LINHA                                                                                            ,304060216
QUIMIOTERAPIA DE LINFOMA DIFUSO DE GRANDES CÉLULAS B – 1ª LINHA                                                                                       ,304060224
QUIMIOTERAPIA DE LEUCEMIA LINFOIDE/LINFOBLÁSTICA AGUDA E DE LINFOMA LINFOBLÁSTICO - 1ª LINHA – FASES TERAPÊUTICAS INICIAIS.                           ,304060232
QUIMIOTERAPIA DE LEUCEMIA LINFOIDE/LINFOBLÁSTICA AGUDA E DE LINFOMA LINFOBLÁSTICO - 1ª LINHA – FASE DE MANUTENÇÃO                                     ,304060240
QUIMIOTERAPIA DE CANCER NA INFÂNCIA E ADOLESCÊNCIA - 1ª LINHA                                                                                         ,304070017
QUIMIOTERAPIA DE CANCER NA INFÂNCIA E ADOLESCÊNCIA - 2ª LINHA                                                                                         ,304070025
QUIMIOTERAPIA DE CÂNCER NA INFÂNCIA E ADOLESCÊNCIA - 4ª LINHA                                                                                         ,304070033
QUIMIOTERAPIA DE CÂNCER NA INFÂNCIA E ADOLESCÊNCIA - 3ª LINHA                                                                                         ,304070041
QUIMIOTERAPIA DE ALTA DOSE DE OSTEOSSARCOMA NA INFÂNCIA E ADOLESCÊNCIA                                                                                ,304070050
QUIMIOTERAPIA DE LEUCEMIA LINFOIDE/LINFOBLÁSTICA AGUDA E DE LINFOMA LINFOBLÁSTICO NA INFÂNCIA E ADOLESCÊNCIA.- 1ª LINHA – FASES TERAPÊUTICAS INICIAIS.,304070068
QUIMIOTERAPIA DE LEUCEMIA LINFOIDE/LINFOBLÁSTICA AGUDA E DE LINFOMA LINFOBLÁSTICO NA INFÂNCIA E ADOLESCÊNCIA.- 1ª LINHA – FASE DE MANUTENÇÃO.         ,304070076
FATOR ESTIMULANTE DO CRESCIMENTO DE COLÕNIAS DE GRANULÓCITOS / MACRÓFAGOS                                                                             ,304080012
INTERNAÇÃO P/ QUIMIOTERAPIA DE ADMINISTRAÇÃO CONTÍNUA                                                                                                 ,304080020
INTERNAÇÃO P/ QUIMIOTERAPIA DE LEUCEMIAS AGUDAS / CRÔNICAS AGUDIZADAS                                                                                 ,304080039
QUIMIOTERAPIA INTRA-ARTERIAL                                                                                                                          ,304080047
QUIMIOTERAPIA INTRA-TECAL                                                                                                                             ,304080055
QUIMIOTERAPIA INTRACAVITARIA                                                                                                                          ,304080063
INIBIDOR DA OSTEÓLISE                                                                                                                                 ,304080071
IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (150 MCI)                                                                                           ,304090018
IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (100 MCI)                                                                                           ,304090026
IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (200 MCI)                                                                                           ,304090034
IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (250 MCI)                                                                                           ,304090042
IODOTERAPIA DE CARCINOMA DIFERENCIADO DE TIREOIDE( 30mCi)                                                                                             ,304090050
IODOTERAPIA DE CARCINOMA DIFERENCIADO DE TIREOIDE( 50mCi)                                                                                             ,304090069
TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO                                                                                         ,304100013
TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO                                                                                                             ,304100021
DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE)                                                                           ,305010018
DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA)                                                                                     ,305010026
DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS                                                                                                         ,305010034
HEMODIALISE CONTINUA                                                                                                                                  ,305010042
HEMODIÁLISE (MÁXIMO 1 SESSÃO POR SEMANA - EXCEPCIONALIDADE)                                                                                           ,305010093
HEMODIÁLISE (MÁXIMO 3 SESSÕES POR SEMANA)                                                                                                             ,305010107
HEMODIÁLISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MÁXIMO 3 SESSÕES POR SEMANA)                                 ,305010115
HEMODIÁLISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (EXCEPCIONALIDADE - MÁXIMO 1 SESSÃO / SEMANA)                 ,305010123
HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO                                                       ,305010131
HEMOFILTRACAO                                                                                                                                         ,305010140
HEMOFILTRACAO CONTINUA                                                                                                                                ,305010158
MANUTENCAO E ACOMPANHAMENTO DOMICILIAR DE PACIENTE SUBMETIDO A DPA /DPAC                                                                              ,305010166
TRATAMENTO DE INTERCORRENCIA EM PACIENTE RENAL CRONICO SOB TRATAMENTO DIALITICO ( POR DIA)                                                            ,305010174
